t                        x
   2.4780495609912198e-04   7.8597486544196686e-16
   2.4840496809936199e-04   7.9175915347731793e-16
   2.4900498009960200e-04   7.9757801494892224e-16
   2.4960499209984201e-04   8.0343163083458784e-16
   2.5020500410008196e-04   8.0932018303431252e-16
   2.5080501610032197e-04   8.1524385437484785e-16
   2.5140502810056198e-04   8.2120282861428466e-16
   2.5200504010080199e-04   8.2719729044666143e-16
   2.5260505210104200e-04   8.3322742550659395e-16
   2.5320506410128201e-04   8.3929342037392732e-16
   2.5380507610152202e-04   8.4539546257841062e-16
   2.5440508810176203e-04   8.5153374060439325e-16
   2.5500510010200203e-04   8.5770844389554481e-16
   2.5560511210224204e-04   8.6391976285959651e-16
   2.5620512410248205e-04   8.7016788887310587e-16
   2.5680513610272206e-04   8.7645301428624420e-16
   2.5740514810296202e-04   8.8277533242760709e-16
   2.5800516010320202e-04   8.8913503760904700e-16
   2.5860517210344203e-04   8.9553232513053021e-16
   2.5920518410368204e-04   9.0196739128501696e-16
   2.5980519610392205e-04   9.0844043336336324e-16
   2.6040520810416206e-04   9.1495164965924868e-16
   2.6100522010440207e-04   9.2150123947412487e-16
   2.6160523210464208e-04   9.2808940312219054e-16
   2.6220524410488209e-04   9.3471634193538858e-16
   2.6280525610512210e-04   9.4138225826842676e-16
   2.6340526810536211e-04   9.4808735550382364e-16
   2.6400528010560211e-04   9.5483183805697804e-16
   2.6460529210584212e-04   9.6161591138126210e-16
   2.6520530410608208e-04   9.6843978197313958e-16
   2.6580531610632209e-04   9.7530365737730849e-16
   2.6640532810656210e-04   9.8220774619186751e-16
   2.6700534010680211e-04   9.8915225807350809e-16
   2.6760535210704211e-04   9.9613740374273038e-16
   2.6820536410728212e-04   1.0031633949890846e-15
   2.6880537610752213e-04   1.0102304446764382e-15
   2.6940538810776214e-04   1.0173387667482652e-15
   2.7000540010800215e-04   1.0244885762329650e-15
   2.7060541210824216e-04   1.0316800892492032e-15
   2.7120542410848217e-04   1.0389135230112792e-15
   2.7180543610872218e-04   1.0461890958345193e-15
   2.7240544810896219e-04   1.0535070271406955e-15
   2.7300546010920214e-04   1.0608675374634701e-15
   2.7360547210944215e-04   1.0682708484538659e-15
   2.7420548410968216e-04   1.0757171828857630e-15
   2.7480549610992217e-04   1.0832067646614218e-15
   2.7540550811016218e-04   1.0907398188170312e-15
   2.7600552011040219e-04   1.0983165715282848e-15
   2.7660553211064220e-04   1.1059372501159829e-15
   2.7720554411088220e-04   1.1136020830516609e-15
   2.7780555611112221e-04   1.1213112999632444e-15
   2.7840556811136222e-04   1.1290651316407324e-15
   2.7900558011160223e-04   1.1368638100419061e-15
   2.7960559211184224e-04   1.1447075682980652e-15
   2.8020560411208225e-04   1.1525966407197926e-15
   2.8080561611232220e-04   1.1605312628027450e-15
   2.8140562811256221e-04   1.1685116712334720e-15
   2.8200564011280222e-04   1.1765381038952620e-15
   2.8260565211304223e-04   1.1846107998740167e-15
   2.8320566411328224e-04   1.1927299994641534e-15
   2.8380567611352225e-04   1.2008959441745355e-15
   2.8440568811376226e-04   1.2091088767344299e-15
   2.8500570011400227e-04   1.2173690410994937e-15
   2.8560571211424228e-04   1.2256766824577905e-15
   2.8620572411448229e-04   1.2340320472358329e-15
   2.8680573611472229e-04   1.2424353831046546e-15
   2.8740574811496230e-04   1.2508869389859129e-15
   2.8800576011520226e-04   1.2593869650580173e-15
   2.8860577211544227e-04   1.2679357127622892e-15
   2.8920578411568228e-04   1.2765334348091505e-15
   2.8980579611592228e-04   1.2851803851843416e-15
   2.9040580811616229e-04   1.2938768191551677e-15
   2.9100582011640230e-04   1.3026229932767763e-15
   2.9160583211664231e-04   1.3114191653984634e-15
   2.9220584411688232e-04   1.3202655946700109e-15
   2.9280585611712233e-04   1.3291625415480520e-15
   2.9340586811736234e-04   1.3381102678024683e-15
   2.9400588011760235e-04   1.3471090365228168e-15
   2.9460589211784236e-04   1.3561591121247881e-15
   2.9520590411808237e-04   1.3652607603566926e-15
   2.9580591611832232e-04   1.3744142483059812e-15
   2.9640592811856233e-04   1.3836198444057937e-15
   2.9700594011880234e-04   1.3928778184415397e-15
   2.9760595211904235e-04   1.4021884415575105e-15
   2.9820596411928236e-04   1.4115519862635221e-15
   2.9880597611952237e-04   1.4209687264415890e-15
   2.9940598811976237e-04   1.4304389373526317e-15
   3.0000600012000238e-04   1.4399628956432134e-15
   3.0060601212024239e-04   1.4495408793523088e-15
   3.0120602412048240e-04   1.4591731679181079e-15
   3.0180603612072241e-04   1.4688600421848483e-15
   3.0240604812096242e-04   1.4786017844096809e-15
   3.0300606012120243e-04   1.4883986782695696e-15
   3.0360607212144238e-04   1.4982510088682223e-15
   3.0420608412168239e-04   1.5081590627430534e-15
   3.0480609612192240e-04   1.5181231278721821e-15
   3.0540610812216241e-04   1.5281434936814616e-15
   3.0600612012240242e-04   1.5382204510515416e-15
   3.0660613212264243e-04   1.5483542923249652e-15
   3.0720614412288244e-04   1.5585453113132989e-15
   3.0780615612312245e-04   1.5687938033042953e-15
   3.0840616812336246e-04   1.5791000650690915e-15
   3.0900618012360246e-04   1.5894643948694392e-15
   3.0960619212384247e-04   1.5998870924649704e-15
   3.1020620412408248e-04   1.6103684591204975e-15
   3.1080621612432249e-04   1.6209087976133463e-15
